ΖΘπεριφερείας#<rs>ΖΘ</rs> περιφερείας
Ζσημείων#<rs>Ζ</rs> σημείων
ΗΒἐκβληθείσῃ#<rs>ΗΒ</rs> ἐκβληθείσῃ
ΗΕΚπόλων#<rs>ΗΕΚ</rs> πόλων
ΗΕἔστιν#<rs>ΗΕ</rs> ἔστιν
ΗΖδιπλῆν#<rs>ΗΖ</rs> διπλῆν
ΗΖλόγου#<rs>ΗΖ</rs> λόγου
ΗΘδηλονότι#<rs>ΗΘ</rs> δηλονότι
ΗΘκαὶ#<rs>ΗΘ</rs> καὶ
ΗΘμοιρῶν#<rs>ΗΘ</rs> μοιρῶν
ΗΘπρὸς#<rs>ΗΘ</rs> πρὸς
Ησημεῖον#<rs>Η</rs> σημεῖον
ΘΑκαὶ#<rs>ΘΑ</rs> καὶ
ΘΕτῇ#<rs>ΘΕ</rs> τῇ
ΘΗπεριφερείας#<rs>ΘΗ</rs> περιφερείας
ΚΕΖκαὶ#<rs>ΚΕΖ</rs> καὶ
ΚΖδιπλῆν#<rs>ΚΖ</rs> διπλῆν
ΚΛδιπλῆν#<rs>ΚΛ</rs> διπλῆν
ΚΛἴσην#<rs>ΚΛ</rs> ἴσην
Κσημεῖον#<rs>Κ</rs> σημεῖον#
Κτὸ#<rs>Κ</rs> τὸ
ΛΗΒδύο#<rs>ΛΗΒ</rs> δύο
ΛΚΘτῷ#<rs>ΛΚΘ</rs> τῷ
Λκαὶ#<rs>Λ</rs> καὶ
