τοῖςἔμπροσθεν#τοῖς ἔμπροσθεν
ἐξάρματιγραφόμενος#ἐξάρματι γραφόμενος
φανερὸςμὲν#φανερὸς μὲν
οὐδὲνἧττον#οὐδὲν ἧττον
ὅμοιόςτε#ὅμοιός τε
τὸπρὸς#τὸ πρὸς
τέλεονἡ#τέλεον ἡ
καὶὅλον#καὶ ὅλον
πηλικότητοςαὐτῶν#πηλικότητο αὐτῶν
ἕκτοςἀπὸ#ἕκτος ἀπὸ
πόλωντῶν#πόλων τῶν
εἰσὶντῷ#εἰσὶν τῷ
τοῦτὰ#τοῦ τὰ
σελήνηνοἷον#σελήνην οἷον
προσάπτεινπλειόνων#προσάπτειν πλειόνων
τῆςτρίτης#τῆς τρίτης
πτήσεσινμήτε#πτήσεσιν μήτε
βορείωντῆς#βορείων τῆς
σκιαὶπρὸς#σκιαὶ πρὸς
ὑπὸαὐτὸν#ὑπὸ αὐτὸν
δωδέκατονλαβόντες#δωδέκατον λαβόντες
ἂνλαμβάνοιτο#ἂν λαμβάνοιτο
εὐθεῖαικαὶ#εὐθεῖαι καὶ
ὀσφύιτοῦ#ὀσφύι τοῦ
γιγνόμεναδιαστήματος#γιγνόμενα διαστήματος
τὸμέγεθος#τὸ μέγεθος
ἀεὶκατὰ#ἀεὶ κατὰ
παρὰδὲ#παρὰ δὲ
μὴπλέον#μὴ πλέον
τὰτοῦ#τὰ τοῦ
κατὰτὰ#κατὰ τὰ
αὐτὴνφέρεται#αὐτὴν φέρεται
εἰπεῖνταῦτα#εἰπεῖν ταῦτα
λέοντοςκαὶ#λέοντος καὶ
τὰςδύσεις#τὰς δύσεις
τοῦἑξαγώνου#τοῦ ἑξαγώνου
πλεῖστονμηδαμῶς#πλεῖστον μηδαμῶς
σκιὰςταῖς#σκιὰς ταῖς
περιφερείαςτοῦ#περιφερείας τοῦ
κύκλουπεριφερειῶν#κύκλου περιφερειῶν
δυναμένωνἐνεγκεῖν#δυναμένων ἐνεγκεῖν
ὅληνσφαῖραν#ὅλην σφαῖραν
ἰσημεριῶνχρόνους#ἰσημεριῶν χρόνους
θερινοῦτροπικοῦ#θερινοῦ τροπικοῦ
συναχθένταἀριθμὸν#συναχθέντα ἀριθμὸν
οἰκήσειςτινὲς#οἰκήσεις τινὲς
περιάγονταίτε#περιάγονταί τε
συνάγεταικαὶ#συνάγεται καὶ
τοσαύταςεἰσενεγκόντες#τοσαύτας εἰσενεγκόντες
ὑποκείσθωδὲ#ὑποκείσθω δὲ
τούτοιςμὲν#τούτοις μὲν
μὲνθερινὴ#μὲν θερινὴ
συναμφοτέραιςτῇ#συναμφοτέραις τῇ
ἐκκειμένωνἀποδειχθέντα#ἐκκειμένων ἀποδειχθέντα
τὰςπαρακειμένας#τὰς παρακειμένας
ἐπίτριτοςἀλλὰ#ἐπίτριτος ἀλλὰ
διπλασίονατῆς#διπλασίονα τῆς
μαθηματικῶςἐπιβάλλωμεν#μαθηματικῶς ἐπιβάλλωμεν
ἑκάστηαὐτῶν#ἑκάστη αὐτῶν
περιεχομένηντὴν#περιεχομένην τὴν
ἑκάστηνθέσιν#ἑκάστην θέσιν
τὴνγινομένην#τὴν γινομένην
μέσονκαὶ#μέσον καὶ
τῶνγινομένων#τῶν γινομένων
σχῆματῆς#σχῆμα τῆς
καὶκλιμάτων#καὶ κλιμάτων
μοῖρανὁ#μοῖραν ὁ
ἂντῆς#ἂν τῆς
σχεδὸντήν#σχεδὸντήν
νυχθημέρωνθεωρουμένη#νυχθημέρων θεωρουμένη
μηνιαίανγίνεσθαι#μηνιαίαν γίνεσθαι
κύκλουπεριεχομένων#κύκλου περιεχομένων
πολὺκαὶ#πολὺ καὶ
μετοπωρινὴνἰσημερίαν#μετοπωρινὴν ἰσημερίαν
τινῶνπαρακεχωρηκυῖα#τινῶν παρακεχωρηκυῖα
τριγώνουκαὶ#τριγώνου καὶ
ἀλλήλαιςεἰσὶν#ἀλλήλαις εἰσὶν
τὰςπηλικότητας#τὰς πηλικότητας
τοὺςτούτου#τοὺς τούτου
εὑρέσεωςκαὶ#εὑρέσεως καὶ
ἀλεξάνδρουτελευτῆς#ἀλεξάνδρου τελευτῆς
κύκλουτεταρτημόριον#κύκλου τεταρτημόριον
κύκλοςπρὸς#κύκλος πρὸς
δὲἡ#δὲ ἡ
ἀποκατάστασινὁρίζεσθαί#ἀποκατάστασιν ὁρίζεσθαί
τρίτηςκατὰ#τρίτης κατὰ
τουτέστιπόσων#τουτέστι πόσων
οἰκείωντόπων#οἰκείων τόπων
σημεῖονἡ#σημεῖον ἡ
πάντατῆς#πάντα τῆς
ἀλλ'ἐπεὶ#ἀλλ' ἐπεὶ
ποιοῦνταπάντοτε#ποιοῦντα πάντοτε
ἐπιπέδουκαταγραφῆς#ἐπιπέδου καταγραφῆς
κύκλωνλέγομεν#κύκλων λέγομεν
τοῦμὴ#τοῦ μὴ
ἰσημερινοῦμοίραις#ἰσημερινοῦ μοίραις
τὴνμεσουρανοῦσαν#τὴν μεσουρανοῦσαν
ἐκεῖναμάχεται#ἐκεῖνα μάχεται
ἔτιπεριλειφθήσονται#ἔτι περιλειφθήσονται
ταῖςὑποθέσεσι#ταῖς ὑποθέσεσι
ἀναφορῶνὀρθὴ#ἀναφορῶν ὀρθὴ
ἀναφοραῖςπαρακολουθούντων#ἀναφοραῖς παρακολουθούντων
καὶοὔτε#καὶ οὔτε
συμφώνουςταῖς#συμφώνους ταῖς
διὰναπάτων#διὰ ναπάτων
ἀγωγῆςκαὶ#ἀγωγῆς καὶ
οὐρανοῦκατ'#οὐρανοῦ κατ'
οὐδὲτὸ#οὐδὲ τὸ
τὸμήτε#τὸ μήτε
φυσικώτερόντις#φυσικώτερόν τις
αὐτὸςκαὶ#αὐτὸς καὶ
τῶνσωμάτων#τῶν σωμάτων
καταγνῶναιτοῦ#καταγνῶναι τοῦ
λαμβανόντωνὑπὸ#λαμβανόντων ὑπὸ
γινομένωνγωνιῶν#κύκλουδιάμετρος#
ὅσαἄλλα#ὅσα ἄλλα
ἐπ'ὀρθῆς#ἐπ' ὀρθῆς
ὅσαςμοίρας#ὅσας μοίρας
βορειοτέρωνἀναφαίνεται#βορειοτέρων ἀναφαίνεται
τῇτῶν#τῇ τῶν
τῆςἀπό#τῆ ςἀπό
γὰργράψωμεν#γὰρ γράψωμεν
ἡμικύκλιονδιὰ#ἡμικύκλιον διὰ
δὲἀπὸ#δὲ ἀπὸ
ἄστραφαινομένων#ἄστρα φαινομένων
δὴτῆς#δὴ τῆς
ἡμέραςφανερὸν#ἡμέρας φανερὸν
ζῳδίωντὴν#ζῳδίων τὴν
μεταξὺδιαστήματά#μεταξὺ διαστήματά
καὶσυνεχεστέρας#καὶ συνεχεστέρας
πρὸςὀρθὰς#πρὸς ὀρθὰς
ἰσημερινῷπεριλαμβάνεσθαι#ἰσημερινῷ περιλαμβάνεσθαι
συναναπληρώσειἐπεὶ#συναναπληρώσει ἐπεὶ
σημείῳτινὶ#σημείῳ τινὶ
μόναςγωνίας#μόνας γωνίας
σημείουγραφόμενον#σημείου γραφόμενον
κοινὴνπροσθῶμεν#κοινὴν προσθῶμεν
τῆςδεκαμοιρίαν#τῆς δεκαμοιρίαν
μὲνοὐρανὸν#μὲν οὐρανὸν
ἡτὴν#ἡ τὴν
ἐστὶνσυναμφοτέροις#ἐστὶν συναμφοτέροις
τοῦπλάτους#τοῦ πλάτους
ἐστινπάλιν#ἐστιν πάλιν
ὀξεῖανοὕτως#ὀξεῖαν οὕτως
ὀφιούχουἐπ'#ὀφιούχου ἐπ'
μὲνἡμερινὰς#μὲν ἡμερινὰς
ὁλοσχερέστερονἀναγεγραμμένην#ὁλοσχερέστερον ἀναγεγραμμένην
τῆςτομῆς#τῆς τομῆς
καταγραφὴμόνων#καταγραφὴ μόνων
τούτωνδοθέντων#τούτων δοθέντων
τὸνὑδροχόον#τὸν ὑδροχόον
τεπερὶ#τε περὶ
καλεῖταιμεσημβρινός#καλεῖται μεσημβρινός
διὰπτολεμαΐδος#διὰ πτολεμαΐδος
